id_student,score_kuesioner,studied_credits,date_registration,final_result,label
71209,67.0,60,-74.0,Pass,1
71252,89.0,60,-138.0,Pass,1
71361,82.0,60,-130.0,Pass,1
71504,100.0,120,-93.0,Pass,1
71578,89.5,60,-29.0,Pass,1
71676,70.0,60,-59.0,Pass,1
71723,66.5,30,-65.0,Fail,0
72114,88.0,120,-122.0,Pass,1
72400,87.5,120,-221.0,Distinction,1
72609,75.5,120,-23.0,Fail,0
72693,79.5,140,-17.0,Pass,1
72864,92.5,60,-159.0,Pass,1
73019,60.0,60,-8.0,Fail,0
73489,81.5,120,-11.0,Pass,1
73584,1.0,60,-121.0,Withdrawn,0
73664,40.0,120,-95.0,Fail,0
73874,100.0,60,-39.0,Withdrawn,0
74113,75.0,60,-96.0,Fail,0
74165,94.0,60,-72.0,Pass,1
74290,10.0,60,-47.0,Withdrawn,0
74372,60.0,150,-50.0,Fail,0
74502,68.0,120,-139.0,Pass,1
74521,70.0,120,-29.0,Pass,1
74524,86.0,120,-57.0,Fail,0
74585,90.5,60,-39.0,Distinction,1
74695,95.0,90,-64.0,Distinction,1
74734,89.0,180,2.0,Pass,1
75091,67.0,60,-107.0,Pass,1
75107,91.0,60,-92.0,Distinction,1
75255,76.0,120,-58.0,Pass,1
75399,72.5,60,-24.0,Pass,1
75427,75.0,60,-30.0,Fail,0
75454,76.0,120,-92.0,Pass,1
75728,70.0,30,-23.0,Fail,0
76081,61.0,150,-122.0,Withdrawn,0
76536,73.0,120,13.0,Fail,0
76579,69.0,60,-57.0,Withdrawn,0
76949,91.5,30,-37.0,Pass,1
77241,61.0,60,-37.0,Withdrawn,0
77367,73.0,60,-27.0,Pass,1
77692,91.5,60,-46.0,Pass,1
77744,84.5,60,-44.0,Pass,1
77746,74.0,60,-173.0,Fail,0
77763,85.5,150,-37.0,Pass,1
77845,70.5,120,-54.0,Fail,0
77995,75.0,60,-15.0,Pass,1
77998,81.0,180,-11.0,Withdrawn,0
78170,91.0,60,-156.0,Fail,0
78255,88.0,120,-162.0,Withdrawn,0
78645,77.5,60,-28.0,Fail,0
79261,83.0,90,-29.0,Pass,1
79403,72.0,60,-23.0,Withdrawn,0
79461,48.0,90,-62.0,Withdrawn,0
79610,84.5,60,-61.0,Pass,1
79683,66.0,60,-40.0,Withdrawn,0
80329,72.5,120,-156.0,Withdrawn,0
80358,71.0,120,-17.0,Pass,1
80438,98.0,120,-86.0,Pass,1
80448,81.5,30,-4.0,Withdrawn,0
80491,82.0,115,-58.0,Withdrawn,0
80717,92.5,60,-33.0,Distinction,1
80745,88.5,60,-24.0,Pass,1
80775,65.0,60,-45.0,Pass,1
80868,50.5,60,-60.0,Pass,1
80886,95.0,60,-94.0,Withdrawn,0
81351,77.5,60,-12.0,Fail,0
81536,64.0,60,-50.0,Fail,0
81754,84.0,60,-60.0,Withdrawn,0
82088,87.0,60,-67.0,Fail,0
82201,68.0,60,10.0,Withdrawn,0
82341,80.0,30,-73.0,Distinction,1
82535,76.5,180,-19.0,Pass,1
82556,83.5,60,-54.0,Fail,0
82575,88.0,30,-29.0,Distinction,1
82741,84.0,60,-60.0,Pass,1
82817,88.0,60,-29.0,Pass,1
83219,72.0,60,-29.0,Pass,1
83254,68.5,60,-51.0,Pass,1
83453,30.0,30,-68.0,Withdrawn,0
83553,50.0,60,-16.0,Fail,0
83588,79.0,60,-156.0,Fail,0
83603,86.0,60,-17.0,Pass,1
84051,96.0,120,-29.0,Fail,0
84245,91.0,120,-27.0,Distinction,1
84299,74.0,120,-57.0,Withdrawn,0
84541,1.0,120,-25.0,Fail,0
84576,92.0,150,-43.0,Distinction,1
84604,90.0,90,-79.0,Distinction,1
84605,81.0,120,-46.0,Withdrawn,0
84664,93.5,60,-92.0,Pass,1
84812,95.0,120,-75.0,Pass,1
85092,58.0,60,-52.0,Pass,1
85144,68.0,60,-41.0,Pass,1
85241,48.0,120,-10.0,Withdrawn,0
85302,76.0,60,-72.0,Pass,1
85325,59.0,120,-124.0,Withdrawn,0
85874,74.0,60,-44.0,Withdrawn,0
86047,62.0,30,-138.0,Withdrawn,0
86291,83.5,60,-15.0,Withdrawn,0
86538,75.5,60,-24.0,Withdrawn,0
86669,92.5,220,-39.0,Pass,1
87107,70.0,60,-22.0,Pass,1
87152,82.0,60,-218.0,Pass,1
87264,96.0,60,-36.0,Distinction,1
87322,79.0,120,-28.0,Pass,1
87431,50.0,60,-106.0,Withdrawn,0
87732,90.5,75,-66.0,Pass,1
87929,75.0,30,-99.0,Pass,1
88340,71.5,60,-129.0,Withdrawn,0
88439,85.0,60,-43.0,Pass,1
88490,93.0,60,-93.0,Distinction,1
88568,93.0,30,-132.0,Pass,1
88781,68.0,60,-85.0,Fail,0
88910,76.0,180,-121.0,Pass,1
89051,77.5,120,-78.0,Pass,1
89092,83.0,60,-30.0,Pass,1
89188,77.0,60,-110.0,Pass,1
89545,92.0,30,-74.0,Pass,1
89727,50.0,70,-75.0,Fail,0
89778,95.0,120,-121.0,Distinction,1
89850,1.0,120,-8.0,Distinction,1
89895,80.5,60,-64.0,Pass,1
89904,91.0,60,-23.0,Pass,1
90243,65.5,60,-18.0,Pass,1
90361,79.0,60,-36.0,Pass,1
90537,76.0,60,-75.0,Pass,1
90901,85.0,120,-32.0,Distinction,1
90979,63.0,120,-46.0,Fail,0
91040,63.5,90,-108.0,Withdrawn,0
91265,75.0,60,-31.0,Pass,1
91322,89.0,60,-19.0,Pass,1
91354,77.0,60,-46.0,Withdrawn,0
91470,60.0,60,-51.0,Pass,1
91629,80.0,60,-44.0,Fail,0
91801,69.0,60,-146.0,Withdrawn,0
92274,83.5,60,-96.0,Withdrawn,0
92341,81.0,60,-24.0,Fail,0
92391,69.0,60,-145.0,Fail,0
92775,61.0,60,-225.0,Fail,0
92832,81.0,60,-65.0,Pass,1
92947,85.0,120,-227.0,Distinction,1
92993,81.5,135,-43.0,Pass,1
94484,80.0,120,-107.0,Pass,1
94616,75.0,60,-22.0,Fail,0
94749,72.0,60,-22.0,Fail,0
94923,57.0,90,-55.0,Fail,0
94961,74.0,60,-170.0,Withdrawn,0
94964,44.0,60,-24.0,Fail,0
94978,71.0,90,-143.0,Withdrawn,0
95356,42.0,90,-110.0,Withdrawn,0
95746,83.5,60,-179.0,Pass,1
95755,58.0,60,-80.0,Withdrawn,0
95906,94.0,120,-27.0,Pass,1
96117,77.5,30,-152.0,Pass,1
96423,87.5,30,-60.0,Pass,1
96475,93.0,180,-48.0,Pass,1
96538,47.5,60,-26.0,Fail,0
96592,68.0,60,-68.0,Pass,1
96729,78.0,120,-44.0,Pass,1
96864,0.0,30,-15.0,Withdrawn,0
96873,92.0,30,-195.0,Fail,0
96874,68.5,90,-36.0,Fail,0
97006,86.5,60,-102.0,Pass,1
97154,92.5,60,-50.0,Pass,1
97567,93.0,60,-30.0,Pass,1
97865,76.5,60,-123.0,Withdrawn,0
97939,69.0,60,-17.0,Fail,0
98094,62.0,60,-107.0,Pass,1
98256,94.0,120,-101.0,Withdrawn,0
98268,92.5,60,-25.0,Pass,1
98313,77.0,60,-22.0,Pass,1
98452,100.0,120,-137.0,Withdrawn,0
98720,82.5,60,-186.0,Pass,1
98842,100.0,60,-25.0,Pass,1
99075,60.0,60,-59.0,Fail,0
99088,1.0,60,-31.0,Withdrawn,0
99151,46.0,120,-44.0,Fail,0
99670,97.0,90,-27.0,Fail,0
99799,86.0,120,-41.0,Pass,1
99993,79.5,120,-94.0,Pass,1
100064,87.0,60,-136.0,Pass,1
100282,78.0,120,-54.0,Withdrawn,0
100561,70.0,60,-35.0,Fail,0
100788,96.0,60,-103.0,Distinction,1
100893,63.0,60,-62.0,Pass,1
101116,83.0,60,-80.0,Pass,1
101217,14.0,90,-121.0,Withdrawn,0
101279,55.0,60,-144.0,Fail,0
101306,70.0,120,-148.0,Fail,0
101420,95.0,120,-132.0,Pass,1
101634,92.0,90,-50.0,Fail,0
101781,84.0,60,-103.0,Pass,1
102028,90.5,60,-122.0,Distinction,1
102067,100.0,120,-24.0,Withdrawn,0
102209,56.0,60,-57.0,Withdrawn,0
102221,70.0,60,-58.0,Pass,1
102343,81.0,60,-66.0,Pass,1
102806,80.0,60,-107.0,Pass,1
102850,68.0,165,-39.0,Pass,1
102854,92.5,60,-116.0,Distinction,1
102952,76.0,60,-100.0,Pass,1
103496,100.0,60,12.0,Pass,1
103535,86.5,120,-165.0,Pass,1
103800,63.0,90,-82.0,Pass,1
103904,79.0,60,-22.0,Distinction,1
104054,93.5,120,-19.0,Distinction,1
104213,91.5,60,-92.0,Distinction,1
104316,86.0,60,-37.0,Fail,0
104476,85.0,60,-109.0,Pass,1
104480,88.0,120,-121.0,Fail,0
104643,77.0,60,-152.0,Pass,1
104772,67.0,60,-40.0,Withdrawn,0
105125,62.0,60,-61.0,Withdrawn,0
105168,88.5,60,-18.0,Fail,0
105413,92.5,100,-43.0,Pass,1
105523,55.5,90,-25.0,Pass,1
105527,79.0,120,-92.0,Pass,1
105629,90.0,60,-58.0,Pass,1
105851,92.0,60,-29.0,Pass,1
105883,87.5,60,-29.0,Pass,1
105939,88.0,60,-50.0,Pass,1
106095,1.0,60,-161.0,Pass,1
106247,67.0,60,5.0,Withdrawn,0
106553,85.0,60,-136.0,Pass,1
106577,57.0,60,-107.0,Pass,1
106588,92.0,60,-24.0,Distinction,1
106793,100.0,60,-23.0,Fail,0
107028,78.5,90,-176.0,Withdrawn,0
107084,52.0,200,-17.0,Fail,0
107162,85.5,60,-93.0,Distinction,1
107339,75.0,60,-178.0,Pass,1
107455,72.0,120,-22.0,Fail,0
107489,89.0,60,-81.0,Pass,1
107713,99.0,150,-19.0,Withdrawn,0
107883,93.5,90,-82.0,Withdrawn,0
108118,98.0,60,-32.0,Pass,1
108207,88.5,120,-268.0,Pass,1
108281,97.0,30,-57.0,Pass,1
108330,79.0,60,-83.0,Pass,1
108377,83.5,120,-53.0,Pass,1
108497,97.0,60,-50.0,Pass,1
108565,63.0,60,-48.0,Withdrawn,0
108589,86.5,60,-108.0,Pass,1
108760,90.0,60,-102.0,Fail,0
108789,27.0,70,-165.0,Fail,0
108799,96.5,75,-138.0,Distinction,1
108822,93.0,60,-44.0,Distinction,1
108834,80.0,90,-45.0,Withdrawn,0
108859,1.0,60,-131.0,Pass,1
108872,62.0,60,-80.0,Pass,1
108949,80.0,120,-57.0,Withdrawn,0
109155,69.0,60,-80.0,Pass,1
109372,83.5,60,-141.0,Pass,1
109441,1.0,120,-89.0,Pass,1
109577,97.0,120,-50.0,Fail,0
109772,75.0,30,-25.0,Pass,1
109782,91.0,60,-26.0,Withdrawn,0
109938,83.5,120,-44.0,Distinction,1
110085,83.0,310,-23.0,Fail,0
110116,89.0,150,-93.0,Pass,1
110175,66.0,60,-110.0,Pass,1
110200,67.0,90,-93.0,Fail,0
110524,80.0,60,-22.0,Pass,1
110529,76.0,60,-44.0,Withdrawn,0
110640,100.0,120,-162.0,Pass,1
110789,78.0,60,-78.0,Pass,1
110820,83.0,60,-108.0,Withdrawn,0
110881,87.5,60,-43.0,Pass,1
110911,100.0,60,-39.0,Pass,1
111113,36.5,60,-92.0,Fail,0
111360,42.0,120,-45.0,Withdrawn,0
111548,26.0,120,-152.0,Withdrawn,0
111717,80.0,60,-43.0,Pass,1
111775,83.5,60,-22.0,Pass,1
111926,70.0,60,-44.0,Fail,0
111942,88.5,120,-128.0,Pass,1
111959,77.0,60,-50.0,Withdrawn,0
112245,79.5,60,-73.0,Pass,1
112441,86.5,30,-17.0,Pass,1
112454,88.0,30,-123.0,Pass,1
113295,81.0,60,-26.0,Pass,1
113565,86.5,180,-31.0,Pass,1
113698,55.0,30,-52.0,Fail,0
113702,82.0,60,-10.0,Withdrawn,0
113824,93.0,120,-108.0,Fail,0
114017,66.0,60,-29.0,Pass,1
114367,96.0,60,-51.0,Pass,1
114402,100.0,90,-9.0,Distinction,1
114500,53.0,120,-5.0,Fail,0
114558,81.0,60,-86.0,Pass,1
114999,74.0,60,-68.0,Pass,1
115373,89.0,60,-86.0,Pass,1
115452,93.0,120,-113.0,Fail,0
116290,84.0,120,-128.0,Fail,0
116319,80.0,30,-8.0,Pass,1
116518,73.0,80,-122.0,Pass,1
116529,88.5,120,-103.0,Withdrawn,0
116541,76.0,60,-68.0,Pass,1
116603,91.5,60,-28.0,Distinction,1
116606,1.0,60,-89.0,Pass,1
116621,92.0,60,-78.0,Distinction,1
116631,68.0,150,-103.0,Withdrawn,0
116692,72.0,60,-32.0,Pass,1
116763,79.0,120,-62.0,Withdrawn,0
116808,87.5,60,-51.0,Distinction,1
117071,73.0,60,-25.0,Fail,0
117197,71.0,130,-66.0,Pass,1
117232,74.0,90,-61.0,Pass,1
117281,87.0,60,-155.0,Pass,1
117435,73.0,90,-24.0,Withdrawn,0
117510,91.0,90,-26.0,Pass,1
117544,100.0,60,-141.0,Pass,1
117545,100.0,120,-4.0,Fail,0
117699,92.5,120,-236.0,Distinction,1
117818,65.0,60,-92.0,Pass,1
117939,49.5,60,-92.0,Withdrawn,0
118050,83.0,90,-129.0,Pass,1
118098,44.0,30,-26.0,Fail,0
118213,1.0,60,-29.0,Fail,0
118474,90.0,60,-10.0,Distinction,1
118479,79.0,60,-37.0,Pass,1
118532,91.0,60,-29.0,Pass,1
118578,65.0,60,-30.0,Withdrawn,0
118668,77.0,60,-28.0,Pass,1
118983,73.0,120,-99.0,Pass,1
119310,56.5,150,-30.0,Withdrawn,0
119353,84.0,60,-54.0,Pass,1
119444,50.5,120,-28.0,Withdrawn,0
119471,75.0,120,-66.0,Fail,0
119729,10.0,30,-24.0,Withdrawn,0
119865,91.0,60,-37.0,Distinction,1
119898,90.0,60,-195.0,Pass,1
119902,75.0,60,-31.0,Withdrawn,0
120236,59.5,100,-3.0,Fail,0
120611,54.0,30,-129.0,Fail,0
120994,85.0,70,-19.0,Fail,0
120999,54.0,60,-60.0,Pass,1
121000,35.5,270,-51.0,Fail,0
121056,45.0,30,-81.0,Withdrawn,0
121163,90.0,30,-22.0,Withdrawn,0
121182,84.0,30,-108.0,Distinction,1
121349,73.0,60,-28.0,Pass,1
121390,75.0,60,-23.0,Fail,0
122337,73.5,30,-43.0,Fail,0
122392,30.0,60,-17.0,Pass,1
122459,75.0,90,-141.0,Pass,1
122636,45.0,30,-25.0,Fail,0
122739,61.0,60,-34.0,Fail,0
122846,62.5,30,-99.0,Pass,1
122928,72.0,30,-40.0,Fail,0
123044,75.0,60,-82.0,Pass,1
123053,80.0,120,-44.0,Withdrawn,0
123087,100.0,120,-162.0,Pass,1
123183,100.0,60,-123.0,Pass,1
123270,65.0,60,-123.0,Fail,0
123462,87.0,120,-71.0,Pass,1
123497,80.0,60,-72.0,Fail,0
123598,52.5,90,-144.0,Withdrawn,0
123716,89.0,90,-39.0,Pass,1
123860,80.0,60,-29.0,Pass,1
123957,47.0,120,-39.0,Withdrawn,0
124006,61.0,70,-51.0,Pass,1
124064,86.0,120,-44.0,Distinction,1
124134,96.0,60,-59.0,Fail,0
124193,87.0,30,-29.0,Distinction,1
124304,94.0,60,-60.0,Pass,1
124711,44.0,60,-155.0,Withdrawn,0
124728,70.0,60,-153.0,Withdrawn,0
124909,88.0,60,-117.0,Pass,1
124944,92.5,30,-24.0,Pass,1
125018,67.0,60,-36.0,Pass,1
125055,80.0,60,-57.0,Pass,1
125063,90.5,60,-136.0,Fail,0
125407,74.0,30,-52.0,Pass,1
